day	hour	value
7	3	22
6	9	23
7	12	40
1	17	385
2	22	26
1	6	7
3	7	0
2	5	8
1	11	267
5	8	0
3	24	0
6	7	20
5	5	0
4	19	37
7	6	22
6	10	44
5	18	46
7	19	26
1	1	7
4	10	211
3	2	0
2	6	8
5	11	257
4	5	0
3	23	27
5	24	22
4	16	529
7	5	22
6	23	20
5	21	28
7	22	22
2	17	492
3	12	512
1	12	485
4	15	799
3	1	0
2	11	381
5	14	455
3	18	72
6	13	51
4	21	12
7	8	21
6	16	53
1	21	108
7	21	22
2	18	77
3	11	294
2	1	8
1	15	608
4	12	635
2	12	618
5	1	0
3	17	475
7	2	22
6	14	56
7	15	43
1	16	467
7	24	9
2	23	14
1	5	7
3	6	0
2	2	8
1	10	209
4	1	0
6	4	21
5	4	0
7	1	21
6	11	51
5	17	161
7	18	34
1	19	50
2	24	2
4	11	396
3	5	0
2	7	8
5	10	175
4	6	0
3	22	111
6	1	20
5	7	0
4	17	475
7	4	22
6	20	22
5	20	29
7	17	38
3	15	734
1	3	7
4	8	0
2	8	8
5	13	481
3	21	167
6	2	21
4	22	7
7	11	40
6	17	48
5	23	22
1	20	115
7	20	21
2	19	52
3	10	217
1	14	460
4	13	423
2	13	448
4	24	0
3	16	543
6	15	52
7	14	46
6	18	43
1	23	25
2	20	45
1	4	7
3	9	87
2	3	8
1	9	86
4	2	0
2	14	550
6	5	21
5	3	0
6	8	21
5	16	262
7	13	41
1	18	58
1	7	7
3	4	0
2	4	8
5	9	31
4	7	0
6	6	21
5	6	0
4	18	53
7	7	21
6	21	21
5	19	36
7	16	42
6	24	19
3	14	536
1	2	7
4	9	126
3	3	0
2	9	133
5	12	480
4	4	0
3	20	174
6	3	21
4	23	3
7	10	36
6	22	20
5	22	27
7	23	16
2	16	508
1	24	8
3	13	505
1	13	467
4	14	534
2	10	210
5	15	422
3	19	67
6	12	51
4	20	22
7	9	24
6	19	28
1	22	71
2	21	33
3	8	0
1	8	7
4	3	0
2	15	800
5	2	0
